map_name,route_name_training,condition,key,route_name_actual,map.thisRepN,map.thisTrialN,map.thisN,map.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,map2.thisRepN,map2.thisTrialN,map2.thisN,map2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_text.stopped,consent_key_resp.keys,consent_key_resp.rt,consent_key_resp.started,consent_key_resp.stopped,text_2.started,text_2.stopped,journey_map_2.started,journey_map_2.stopped,routes_training.started,routes_training.stopped,text_3.started,text_3.stopped,training_resp.keys,training_resp.rt,training_resp.started,training_resp.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,journey_map.started,journey_map.stopped,route_actual.started,route_actual.stopped,text_actual.started,text_actual.stopped,response_2.keys,response_2.rt,response_2.started,response_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,ID (INITIALS and TODAYS DATE),date,expName,psychopyVersion,frameRate,compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,7,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,275.3698169,None,274.8868645,275.3864478,e,1.3874749,275.3698169,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,8,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,277.3988534,None,276.8996848,277.416227,i,1.1470377,277.3988534,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,9,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,279.1798704,None,278.6856101,279.1977839,i,3.2243826,279.1798704,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,10,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0601194,None,282.563552,283.0824259,e,0.7437202,283.0601194,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,11,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,284.45659,None,283.95079,284.45659,i,1.1050406,284.45659,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,12,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,286.2375302,None,285.7367924,286.2558187,i,1.4683896,286.2375302,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,13,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,288.3717169,None,287.8737916,288.3895838,i,1.6587582,288.3717169,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,14,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,290.6864726,None,290.186817,290.707246,i,1.3382616,290.6864726,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,15,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,292.6680923,None,292.1893958,292.703037,e,1.2799233,292.6680923,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,16,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,294.5863018,None,294.0821346,294.5863018,e,2.380127,294.5863018,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,17,35,11,,,,,,,,,,,,,,,,,,,,,,,,,,,297.6152506,None,297.1194548,297.6321215,i,0.880954,297.6152506,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,2,0,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,299.145536,None,298.6522098,299.1660262,i,0.7095937,299.145536,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,2,1,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,300.4923195,None,300.004826,300.5093429,e,0.6276616,300.4923195,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,2,2,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,,301.7873679,None,301.2764792,301.8077959,i,1.021279,301.7873679,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,2,3,39,13,,,,,,,,,,,,,,,,,,,,,,,,,,,303.4909374,None,302.9882558,303.4909374,e,1.162703,303.4909374,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,2,4,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,305.3064398,None,304.8100039,305.3256471,e,0.9017395,305.3064398,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,2,5,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,306.8552657,None,306.359642,306.8729798,e,3.1549025,306.8552657,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,2,6,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,310.6571127,None,310.1640906,310.6824495,e,1.1662306,310.6571127,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,2,7,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,312.4516218,None,311.9647727,312.4689646,i,2.8006497,312.4516218,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,i,routes_actual/p2_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,2,8,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,315.8966529,None,315.4058,315.9134294,i,1.5370232,315.8966529,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,2,9,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0806522,None,317.5809661,318.0806522,e,0.9686303,318.0806522,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,2,10,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,319.6943806,None,319.2020206,319.7113584,e,2.7134404,319.6943806,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
